t11,t12,t13,t14,t15,t21,t22,t23,t24,t25
Urgot,Camille,Lissandra,Kaisa,Rakan,Aatrox,Taliyah,Malzahar,Xayah,Leona
Gnar,LeeSin,Malzahar,Varus,Janna,Aatrox,Olaf,Viktor,Ezreal,TahmKench
Sion,Taliyah,Ryze,Kaisa,Braum,Urgot,Kayn,Zoe,Ashe,TahmKench
Urgot,Nidalee,Irelia,Caitlyn,Morgana,Aatrox,Gragas,Lissandra,Xayah,Rakan
Jayce,JarvanIV,Leblanc,Kalista,Alistar,Fiora,Camille,Talon,Swain,Rakan
Gnar,Taliyah,Galio,Ashe,TahmKench,Jax,XinZhao,Leblanc,Yasuo,Alistar
Urgot,LeeSin,Vladimir,Caitlyn,TahmKench,Sion,Taliyah,Zoe,Kaisa,Alistar
Urgot,Olaf,Irelia,Caitlyn,Morgana,Aatrox,Gragas,Lissandra,Xayah,Rakan
Urgot,Taliyah,Galio,Varus,Soraka,Ryze,Olaf,Velkoz,Ashe,TahmKench
Gangplank,Kindred,Lulu,Varus,Alistar,Aatrox,LeeSin,Lissandra,Xayah,Thresh
Aatrox,Nocturne,Lissandra,MissFortune,Morgana,Gangplank,JarvanIV,Ryze,Caitlyn,Nami
Ornn,Sejuani,Aatrox,Kaisa,Alistar,Urgot,Gragas,Velkoz,Xayah,Rakan
JarvanIV,LeeSin,Ryze,Varus,TahmKench,Gragas,XinZhao,Orianna,Xayah,Braum
Urgot,Sejuani,Yasuo,Vladimir,Shen,Gnar,Trundle,Zoe,Xayah,Rakan
Ornn,Nocturne,Ryze,Xayah,Alistar,Urgot,Taliyah,Jayce,Varus,Braum
Ornn,LeeSin,Leblanc,Varus,Braum,Poppy,RekSai,Zoe,Kaisa,TahmKench
Gnar,Camille,Leblanc,Varus,Alistar,Gragas,Sejuani,Irelia,Kaisa,Morgana
Gangplank,Poppy,Azir,Twitch,Braum,Sion,Kindred,Lulu,Kaisa,Alistar
Akali,XinZhao,Ryze,MissFortune,Braum,Aatrox,Kindred,Lulu,Xayah,Gragas
Urgot,Gragas,Ryze,Kaisa,Zilean,Sion,Taliyah,Kled,Varus,Braum
Cassiopeia,Olaf,Galio,Ashe,Braum,Urgot,Camille,Leblanc,Xayah,Shen
Chogath,Olaf,Vladimir,Varus,TahmKench,Gragas,JarvanIV,Leblanc,Xayah,Rakan
Urgot,Poppy,Ryze,Kaisa,Braum,Aatrox,Gragas,Cassiopeia,Sivir,Alistar
Urgot,XinZhao,Syndra,Kaisa,Alistar,Sion,Kindred,Lissandra,Xayah,Rakan
Ornn,Olaf,Syndra,Kaisa,Alistar,Aatrox,Gragas,Azir,Ashe,TahmKench
Aatrox,Kindred,Cassiopeia,Jhin,TahmKench,Jayce,Taliyah,Ryze,Kaisa,Braum
Gangplank,LeeSin,Irelia,Ezreal,Alistar,Jayce,Trundle,Leblanc,Xayah,Rakan
Ornn,Sejuani,Cassiopeia,Varus,TahmKench,Swain,Aatrox,Urgot,Kaisa,Alistar
Ornn,Gragas,Zoe,Ashe,TahmKench,Akali,Camille,Orianna,Kaisa,Rakan
Ornn,Zac,Akali,Varus,TahmKench,Poppy,Taliyah,Urgot,Kaisa,Alistar
Gangplank,Olaf,Malzahar,Varus,TahmKench,Fiora,Gragas,Irelia,Ashe,Braum
Sion,Kindred,Leblanc,Varus,TahmKench,Ornn,Aatrox,Lissandra,Xayah,Pyke
Poppy,Graves,AurelionSol,Varus,Braum,Jayce,Trundle,Ryze,Xayah,Alistar
Gangplank,Rengar,Ryze,Ashe,TahmKench,Ornn,Gragas,Velkoz,Kaisa,Karma
Maokai,Skarner,Ryze,Varus,TahmKench,Ornn,Kindred,Urgot,Kaisa,Alistar
Sion,Trundle,Ryze,Vayne,Braum,Maokai,Aatrox,Yasuo,Kaisa,Alistar
Gangplank,Trundle,Zoe,Ashe,Zilean,Gnar,Zac,Ryze,Kaisa,TahmKench
Urgot,Nocturne,Syndra,Kaisa,Braum,Gangplank,XinZhao,Lulu,Tristana,Alistar
Ornn,Sejuani,Zilean,Kaisa,Braum,Gangplank,Kindred,Malzahar,Jhin,Alistar
Gangplank,Gragas,Syndra,Jhin,TahmKench,Gnar,Poppy,Leblanc,Xayah,Rakan
Ornn,Sejuani,Ryze,Varus,Thresh,DrMundo,Skarner,Cassiopeia,MissFortune,Braum
Shen,Trundle,Ryze,Ashe,Thresh,Chogath,Sejuani,Malzahar,Kaisa,Braum
Ornn,XinZhao,Galio,Kaisa,Alistar,Sion,Sejuani,Irelia,Varus,Gragas
Swain,XinZhao,Galio,Xayah,Rakan,Sion,LeeSin,Ryze,Kaisa,Leona
Akali,LeeSin,Ryze,Xayah,Alistar,Lissandra,Jax,Yasuo,Kaisa,Shen
Urgot,Camille,Corki,Kaisa,Rakan,Sion,Kindred,Galio,Xayah,Braum
Chogath,Kindred,Lissandra,Varus,Braum,Gangplank,XinZhao,Ahri,Tristana,TahmKench
Sion,Kindred,Ryze,MissFortune,TahmKench,Ornn,Graves,Karma,Tristana,Alistar
Lissandra,Skarner,Aatrox,Varus,Fiddlesticks,Akali,Taliyah,Galio,Xayah,Braum
Camille,Taliyah,Irelia,Varus,Thresh,Gragas,XinZhao,Ryze,Kaisa,Alistar
Urgot,Gragas,Akali,Varus,Janna,Karma,Skarner,Zoe,Caitlyn,Morgana
Gangplank,Olaf,Malzahar,Varus,Braum,Chogath,Gragas,Zoe,Jhin,TahmKench
Ornn,Olaf,Galio,Ashe,Braum,Poppy,Graves,Leblanc,Ezreal,Janna
Ryze,Gragas,Galio,Ashe,Braum,Gangplank,Nocturne,Leblanc,Ezreal,Janna
Gangplank,Olaf,Irelia,Swain,Alistar,Kennen,JarvanIV,Orianna,Ezreal,Janna
Gnar,Camille,AurelionSol,Kaisa,Alistar,Chogath,Kindred,Lulu,Xayah,Rakan
Gangplank,Skarner,Vladimir,Xayah,Braum,Chogath,Camille,Akali,Kaisa,Gragas
Ornn,RekSai,Leblanc,Xayah,Rakan,Maokai,Nidalee,Lissandra,Varus,Janna
Gnar,Taliyah,Leblanc,Ashe,TahmKench,Malphite,Graves,Vladimir,Swain,Trundle
Camille,Olaf,Syndra,Varus,TahmKench,Chogath,Trundle,Ryze,Tristana,Alistar
Aatrox,Gragas,Velkoz,Varus,TahmKench,Chogath,Sejuani,Syndra,Kaisa,Braum
JarvanIV,Trundle,Ryze,Varus,Thresh,Gnar,Gragas,Velkoz,Ezreal,Braum
Jayce,Trundle,Yasuo,Ashe,Alistar,Gnar,Evelynn,Ryze,Varus,Braum
Ornn,Gragas,Galio,Varus,TahmKench,Rumble,Camille,Zilean,Ashe,Braum
JarvanIV,Poppy,Galio,Ezreal,Braum,Chogath,Gragas,Zoe,Xayah,Rakan
Poppy,Trundle,Akali,Varus,Morgana,JarvanIV,Olaf,Lissandra,Ashe,TahmKench
Gnar,Camille,AurelionSol,Tristana,Rakan,Kennen,Trundle,Lissandra,Xayah,Alistar
Ornn,Taliyah,Fizz,Varus,TahmKench,Poppy,Olaf,Ryze,Ashe,Lulu
Quinn,Camille,Lissandra,Kaisa,Alistar,Gnar,Olaf,Galio,Varus,Braum
Gangplank,Trundle,Akali,Swain,Pyke,Rumble,Kindred,Galio,Tristana,Alistar
Sion,Camille,Galio,Tristana,Alistar,Vladimir,Taliyah,Jayce,Xayah,Taric
Poppy,Camille,Taliyah,Tristana,Braum,Fiora,Gragas,Irelia,Kaisa,Thresh
Chogath,Trundle,Leblanc,Jhin,Pyke,Gnar,Kindred,Akali,Kaisa,Alistar
Ornn,Camille,Lucian,Tristana,Braum,Fiora,Taliyah,Galio,Xayah,Thresh
Rumble,Trundle,Cassiopeia,Varus,Braum,Camille,Nocturne,Ryze,Ashe,TahmKench
Ryze,Trundle,Leblanc,Kaisa,TahmKench,Gangplank,Kindred,Galio,Jhin,Pyke
Chogath,Gragas,Jayce,Ashe,TahmKench,Urgot,XinZhao,Zoe,Xayah,Janna
Ryze,LeeSin,Syndra,Ezreal,Shen,Kled,Nidalee,Cassiopeia,Varus,Alistar
Gnar,Taliyah,Akali,Caitlyn,Morgana,Gangplank,Gragas,Ryze,Xayah,Alistar
Kennen,Skarner,Ekko,Kaisa,Alistar,Gangplank,Gragas,Malzahar,Caitlyn,TahmKench
DrMundo,Olaf,Ryze,Xayah,Rakan,Sion,RekSai,Velkoz,Kaisa,Alistar
Poppy,Olaf,Galio,Yasuo,Alistar,Akali,Trundle,Kled,Ezreal,Shen
Aatrox,Kindred,Galio,Ezreal,Gragas,Camille,Olaf,Ryze,Xayah,Alistar
Ornn,Zac,Aatrox,Kaisa,Braum,Sion,Camille,Leblanc,Varus,Zilean
Vladimir,Graves,Lulu,Kaisa,Braum,Gangplank,Sejuani,Akali,Ezreal,Shen
Ornn,Olaf,Akali,Kaisa,Janna,Vladimir,Trundle,Aatrox,Ezreal,Alistar
Sion,Sejuani,Yasuo,Kaisa,Braum,Maokai,Camille,Azir,Xayah,TahmKench
Poppy,Kindred,Malzahar,Xayah,Rakan,Camille,RekSai,Ryze,MissFortune,Alistar
Ornn,XinZhao,Syndra,Varus,Janna,Jax,Taliyah,Aatrox,Kaisa,Alistar
Urgot,Trundle,Zoe,Kaisa,Gragas,Aatrox,Olaf,Malzahar,Tristana,Alistar
Urgot,Olaf,Syndra,Kaisa,Shen,Darius,Camille,Ryze,Varus,Gragas
Gangplank,Camille,Kled,Ezreal,Braum,Sion,Taliyah,Irelia,Kaisa,Alistar
Irelia,Sejuani,AurelionSol,Kaisa,Alistar,Vladimir,Camille,Galio,Varus,Braum
Sion,Nocturne,Galio,Xayah,Rakan,Ornn,XinZhao,Azir,Kaisa,Alistar
Urgot,Olaf,Yasuo,Xayah,Rakan,Aatrox,LeeSin,Zoe,Varus,Shen
Ornn,Nocturne,Ryze,Caitlyn,Morgana,Urgot,XinZhao,Syndra,Xayah,Alistar
Sion,JarvanIV,Cassiopeia,Jhin,Alistar,Maokai,LeeSin,Ryze,Kaisa,TahmKench
Chogath,Olaf,Akali,Xayah,Rakan,Gangplank,Gragas,Zoe,Varus,Braum
Jayce,Olaf,TwistedFate,Ezreal,Gragas,Swain,Trundle,Galio,Yasuo,Alistar
Poppy,Gragas,Cassiopeia,Kaisa,Alistar,Camille,Evelynn,Galio,Lucian,Braum
Shen,XinZhao,Malzahar,Kaisa,Alistar,Camille,Graves,Galio,Vladimir,Rakan
Poppy,Zac,Ryze,Varus,Alistar,Aatrox,Sejuani,Cassiopeia,Ashe,TahmKench
Maokai,Gragas,Urgot,Xayah,Rakan,Sion,Poppy,Ryze,Varus,TahmKench
Ornn,Trundle,Leblanc,Xayah,Rakan,Sion,Skarner,Corki,Varus,Morgana
Gangplank,Olaf,Leblanc,MissFortune,Rakan,Swain,Trundle,Jayce,Xayah,Alistar
Chogath,Skarner,Azir,Kaisa,Alistar,Gangplank,Olaf,Cassiopeia,Xayah,Rakan
Chogath,Camille,Leblanc,Varus,Rakan,Sion,Olaf,Vladimir,Ezreal,Braum
Aatrox,Camille,Cassiopeia,Kaisa,Alistar,Sion,Zac,Urgot,Varus,TahmKench
Vladimir,Trundle,Lissandra,Varus,Thresh,Jayce,Sejuani,Irelia,Ashe,TahmKench
Jayce,Gragas,Orianna,Ezreal,TahmKench,Quinn,Olaf,TwistedFate,Varus,Alistar
Urgot,Gragas,Ryze,Swain,Alistar,Vladimir,Camille,Irelia,MissFortune,Shen
Hecarim,Nocturne,Galio,Kaisa,Alistar,Aatrox,Trundle,Cassiopeia,Xayah,Rakan
Sion,Taliyah,Jayce,Xayah,Alistar,Ornn,Camille,Talon,Tristana,Braum
Hecarim,Taliyah,Ryze,Kaisa,Alistar,Aatrox,Sejuani,Urgot,Xayah,Rakan
Kennen,Trundle,Talon,Kaisa,Alistar,Ryze,Olaf,TwistedFate,Varus,Braum
Vladimir,JarvanIV,Aatrox,Varus,Morgana,Gangplank,Trundle,Azir,Xayah,Rakan
Urgot,Camille,Leblanc,Varus,Morgana,Vladimir,XinZhao,Irelia,Kennen,Alistar
Shen,XinZhao,Zoe,Ezreal,Braum,Jax,LeeSin,Leblanc,KogMaw,TahmKench
Kled,Sejuani,Irelia,Swain,Pyke,Ornn,Olaf,Leblanc,MissFortune,Alistar
Gangplank,Taliyah,Vladimir,Tristana,Braum,Pantheon,Gragas,Galio,Kaisa,Morgana
Kled,Sejuani,Irelia,Swain,Shen,Gnar,Trundle,Yasuo,Kaisa,Alistar
Ornn,Trundle,Syndra,Varus,Janna,Ryze,Olaf,Leblanc,Jhin,TahmKench
Urgot,Olaf,Ryze,Kaisa,Braum,Vladimir,Sejuani,Irelia,Xayah,Gragas
Gragas,LeeSin,Leblanc,Varus,Braum,Jayce,Kindred,Syndra,Jhin,TahmKench
Jayce,Trundle,Ryze,Ashe,Braum,Gnar,Kindred,Anivia,Varus,TahmKench
Darius,Gragas,Leblanc,Tristana,Fiddlesticks,Chogath,Kindred,Irelia,Kaisa,Braum
Kled,Trundle,Galio,Varus,Poppy,Maokai,Skarner,Cassiopeia,Ezreal,Shen
Ryze,Gragas,Yasuo,Tristana,Alistar,Gangplank,Kindred,Galio,Kaisa,Braum
Ornn,Trundle,Taliyah,Varus,Poppy,Rumble,Skarner,Irelia,Ezreal,Shen
Sion,Kindred,Galio,Draven,Braum,Chogath,Poppy,Irelia,Kaisa,Alistar
JarvanIV,Graves,Galio,Draven,Braum,Poppy,Trundle,Leblanc,Jhin,Alistar
Camille,Trundle,Zoe,Kaisa,Braum,DrMundo,Olaf,Azir,Varus,TahmKench
Gangplank,Skarner,Ryze,Kaisa,Rakan,Chogath,Sejuani,Aatrox,Xayah,TahmKench
Chogath,Olaf,Syndra,Xayah,Rakan,Ornn,Gragas,Viktor,Kaisa,TahmKench
Ornn,Trundle,Syndra,Xayah,Rakan,Gangplank,Sejuani,Leblanc,Kaisa,Alistar
Gangplank,Sejuani,Irelia,Xayah,TahmKench,Ornn,Camille,Velkoz,Varus,Gragas
Gangplank,Gragas,Lissandra,Jinx,TahmKench,Rumble,Olaf,Irelia,Kaisa,Alistar
Irelia,XinZhao,Ryze,Tristana,Gragas,Gnar,Camille,Orianna,Varus,TahmKench
Malphite,Zac,Irelia,Tristana,Gragas,Camille,Sejuani,Galio,Kaisa,Shen
Aatrox,Kindred,Galio,Xayah,Gragas,Vladimir,Sejuani,Irelia,Varus,Braum
Aatrox,XinZhao,Ryze,Kaisa,Leona,Urgot,Olaf,Viktor,Lucian,Pyke
Urgot,Gragas,Syndra,Varus,TahmKench,Jax,Camille,Aatrox,Vladimir,Fiddlesticks
Ornn,Gragas,Malzahar,Tristana,Thresh,Urgot,Skarner,Syndra,Kalista,Alistar
Sion,Taliyah,AurelionSol,Varus,Braum,Olaf,Gragas,Ryze,Caitlyn,TahmKench
Sion,XinZhao,Zilean,Varus,TahmKench,Jax,Gragas,Akali,KogMaw,Alistar
Ornn,Kindred,Karma,Varus,TahmKench,Sion,Taliyah,Syndra,Tristana,Thresh
Maokai,Gragas,Yasuo,Tristana,Alistar,Sion,XinZhao,Ryze,Xayah,Rakan
Urgot,XinZhao,Ziggs,Varus,TahmKench,Lissandra,Kindred,Irelia,Kaisa,Alistar
Sion,Taliyah,Galio,Lucian,Alistar,Urgot,Kindred,Akali,Kaisa,Braum
Ornn,Nocturne,Leblanc,Kaisa,TahmKench,Sion,Camille,Lulu,Varus,Shen
Ornn,Olaf,Ryze,Tristana,Alistar,Aatrox,JarvanIV,Velkoz,Xayah,Rakan
Aatrox,Sejuani,Viktor,Jinx,Alistar,Chogath,Zac,Urgot,Kaisa,TahmKench
Ornn,XinZhao,Azir,Tristana,Alistar,Poppy,Skarner,Ryze,Kaisa,TahmKench
Sion,Gragas,Talon,Kaisa,TahmKench,Urgot,JarvanIV,Galio,KogMaw,Braum
Ornn,Olaf,Akali,Tristana,Alistar,Sion,Skarner,Zilean,Varus,TahmKench
Urgot,Olaf,Zoe,Kaisa,Braum,Sion,Graves,Ryze,Varus,TahmKench
Chogath,Graves,Leblanc,Kaisa,Gragas,Sion,Olaf,Kassadin,Lucian,Braum
Urgot,Camille,Leblanc,Xayah,Braum,Chogath,Olaf,Malzahar,Kaisa,Rakan
Ornn,Trundle,Syndra,Lucian,Braum,Darius,Skarner,Ryze,Kaisa,Alistar
Ornn,LeeSin,Cassiopeia,Varus,TahmKench,Urgot,Camille,Ryze,Kaisa,Rakan
Poppy,Kindred,Ryze,Kaisa,Braum,Maokai,Nocturne,Orianna,Lucian,Alistar
Akali,Kindred,Viktor,Kaisa,Alistar,Urgot,Poppy,Anivia,Varus,TahmKench
Poppy,Gragas,Velkoz,Kaisa,Leona,Aatrox,Skarner,Ryze,Xayah,Rakan
Singed,Taliyah,Ryze,Draven,Thresh,Sion,Gragas,Galio,Lucian,Rakan
Urgot,Taliyah,Irelia,Kaisa,Alistar,Ornn,Zac,Zoe,Varus,Morgana
JarvanIV,Nocturne,Kassadin,Draven,Thresh,Poppy,Taliyah,Leblanc,Varus,Nautilus
Poppy,Olaf,Leblanc,Xayah,Alistar,Ornn,LeeSin,Malzahar,Kaisa,Gragas
Shen,Graves,Ryze,Kaisa,Alistar,Ornn,Olaf,Malzahar,Lucian,Gragas
Irelia,Gragas,Yasuo,Xayah,Alistar,Poppy,LeeSin,Jayce,Varus,TahmKench
Chogath,Olaf,Viktor,Kaisa,Alistar,Jayce,Taliyah,Urgot,Yasuo,TahmKench
Urgot,Gragas,Ryze,Tristana,Alistar,Sion,Taliyah,Kled,Varus,Braum
Gragas,LeeSin,Galio,Kaisa,Rakan,Jayce,Zac,Leblanc,Tristana,TahmKench
Urgot,Gragas,Lissandra,Sivir,Alistar,Sion,Graves,Cassiopeia,Varus,Braum
Shen,Gragas,Irelia,Kaisa,Nautilus,Camille,Trundle,Heimerdinger,Tristana,Thresh
Urgot,XinZhao,Velkoz,Yasuo,Alistar,Aatrox,Olaf,Azir,Ashe,TahmKench
Urgot,Olaf,Lissandra,Tristana,Alistar,Aatrox,Trundle,Viktor,Kaisa,TahmKench
Urgot,Skarner,Akali,Tristana,Gragas,Gnar,Nocturne,Heimerdinger,Ezreal,Alistar
Jayce,Trundle,Taliyah,Sivir,Alistar,Malphite,Olaf,Zoe,Kaisa,Gragas
Darius,Gragas,Irelia,Varus,Alistar,Sion,Camille,Vladimir,Xayah,Rakan
Ornn,LeeSin,Syndra,Xayah,Gragas,Shen,Nocturne,Heimerdinger,Tristana,Rakan
Urgot,Nocturne,Galio,Xayah,Rakan,Gnar,Taliyah,Velkoz,Ezreal,Gragas
Maokai,Gragas,Syndra,Xayah,Rakan,Sion,Taliyah,Zoe,Ezreal,Braum
Ornn,Olaf,Lissandra,Xayah,Shen,Gangplank,Sejuani,Akali,Ezreal,Rakan
Aatrox,Skarner,Azir,Velkoz,TahmKench,Sion,Gragas,Syndra,Vayne,Soraka
Ornn,Olaf,Ryze,Ezreal,TahmKench,Jayce,LeeSin,Syndra,Yasuo,Pyke
Sion,JarvanIV,Akali,Draven,Leona,Gangplank,Gragas,Leblanc,Xayah,Rakan
Aatrox,Skarner,Syndra,Kaisa,TahmKench,Poppy,Gragas,Urgot,Tristana,Alistar
Urgot,Olaf,Azir,Kaisa,Braum,Vladimir,Camille,Yasuo,Varus,Alistar
Urgot,Camille,Malzahar,Kaisa,Alistar,Aatrox,XinZhao,Leblanc,KogMaw,TahmKench
Sion,Kindred,Syndra,Ezreal,Leona,Chogath,Graves,Lulu,Xayah,Rakan
Chogath,Gragas,Kled,Xayah,Rakan,Sion,JarvanIV,Galio,Kaisa,Alistar
Sion,Kindred,Zilean,Kaisa,Alistar,Chogath,Evelynn,Malzahar,Ezreal,Braum
Urgot,XinZhao,Ryze,Varus,Braum,Gnar,Taliyah,Zoe,Ashe,TahmKench
Urgot,Sejuani,Leblanc,Tristana,Braum,Lissandra,Nocturne,Galio,Kaisa,Thresh
Sion,Gragas,Leblanc,Kaisa,Braum,Chogath,Sejuani,Yasuo,Tristana,Alistar
Singed,Kindred,Galio,Varus,TahmKench,Aatrox,Taliyah,Malzahar,Kaisa,Alistar
Ornn,Gragas,Ryze,Ezreal,Braum,Sion,Kindred,Lulu,Varus,Alistar
Camille,Skarner,Leblanc,Lucian,Alistar,Shen,Nocturne,Lissandra,Kaisa,TahmKench
Ryze,Trundle,Zilean,Kaisa,Gragas,Gangplank,Olaf,Syndra,Jhin,Alistar
Urgot,Olaf,Akali,Varus,TahmKench,Sion,Kindred,Leblanc,Kaisa,Alistar
Sion,Gragas,Velkoz,Kaisa,Braum,Shen,Trundle,Ryze,Tristana,Alistar
Gnar,Camille,Azir,Xayah,Shen,Urgot,Sejuani,Katarina,Kaisa,Rakan
Urgot,XinZhao,Leblanc,Draven,Thresh,Camille,Nocturne,Syndra,Ezreal,TahmKench
Sion,Graves,Zilean,Kaisa,Braum,Chogath,Olaf,Malzahar,Tristana,Alistar
Poppy,Jax,Azir,Xayah,Shen,Jayce,Skarner,Syndra,Yasuo,Rakan
Sion,Camille,Zilean,Kaisa,Braum,Chogath,Sejuani,Malzahar,Tristana,Alistar
Sion,Camille,Zilean,Kaisa,Morgana,Gangplank,Gragas,Ryze,Tristana,Alistar
Ornn,Taliyah,Kled,Xayah,Rakan,Aatrox,Zac,Ryze,Kaisa,Alistar
Urgot,Taliyah,Irelia,Kaisa,Alistar,Aatrox,Skarner,Cassiopeia,Xayah,Rakan
Ryze,Olaf,Urgot,Jhin,Alistar,Aatrox,Taliyah,Galio,Vayne,TahmKench
Urgot,LeeSin,Ryze,Tristana,Alistar,Camille,Trundle,Orianna,Kaisa,Braum
Ryze,JarvanIV,Urgot,MissFortune,Morgana,Aatrox,Gragas,Irelia,Varus,Braum
Chogath,Gragas,Yasuo,MissFortune,Alistar,Jayce,LeeSin,Ryze,Varus,TahmKench
Chogath,Skarner,Lissandra,Varus,Braum,Gangplank,Trundle,Akali,Kaisa,Shen
Ornn,Skarner,Aatrox,Tristana,Gragas,Urgot,Camille,Ryze,Lucian,Braum
Chogath,Sejuani,Yasuo,Varus,Braum,Sion,Trundle,Cassiopeia,Kaisa,Shen
Gnar,Olaf,Malzahar,Tristana,Alistar,Urgot,LeeSin,Lissandra,Varus,Braum
Gnar,Sejuani,Leblanc,Ezreal,Shen,Ornn,Trundle,Malzahar,Kaisa,Pyke
Ornn,Gragas,Aatrox,Jinx,Braum,Urgot,Olaf,Irelia,Kaisa,Shen
Chogath,Gragas,Irelia,Ezreal,Shen,Ornn,Zac,Ryze,Xayah,Rakan
Ryze,Taliyah,Leblanc,Jhin,Alistar,Urgot,Olaf,Irelia,Kaisa,Taric
Jax,Camille,Zoe,Kaisa,Morgana,Chogath,Gragas,Irelia,Lucian,Braum
Gangplank,Hecarim,Malzahar,Twitch,Braum,Sion,Olaf,Ryze,Kaisa,Morgana
Ornn,LeeSin,Malzahar,Twitch,Braum,Sion,Sejuani,Irelia,Kaisa,Morgana
Chogath,Trundle,Cassiopeia,Ezreal,Braum,Sion,Gragas,Ryze,Ashe,Thresh
Urgot,Kindred,Karma,Ezreal,Braum,Aatrox,Nidalee,Syndra,Kaisa,Alistar
Ornn,Olaf,Yasuo,Kaisa,Braum,Vladimir,Trundle,Irelia,Varus,Shen
Aatrox,Trundle,Cassiopeia,Caitlyn,Morgana,Urgot,Olaf,Orianna,Jhin,Alistar
Sion,Nocturne,Irelia,Xayah,Rakan,Fiora,Gragas,Galio,Kaisa,Leona
Aatrox,Zac,Jayce,Kaisa,Braum,Urgot,Sejuani,Ryze,Vayne,TahmKench
Aatrox,JarvanIV,Orianna,Kaisa,Braum,Quinn,Skarner,Ryze,Ashe,TahmKench
Sion,JarvanIV,Galio,Varus,Thresh,Camille,Gragas,Corki,Xayah,Alistar
Aatrox,Camille,Zoe,Kaisa,TahmKench,Urgot,Graves,Ryze,Ashe,Braum
Ornn,Skarner,Velkoz,Varus,TahmKench,DrMundo,Sejuani,Azir,Ashe,Braum
Irelia,Sejuani,Ryze,Kaisa,Alistar,Sion,Camille,Vladimir,Ashe,TahmKench
JarvanIV,Sejuani,Yasuo,Swain,Sion,Ornn,Trundle,Azir,Kaisa,Morgana
Urgot,Nocturne,Leblanc,Kaisa,Braum,Aatrox,Skarner,Lissandra,Varus,TahmKench
Chogath,Sejuani,Urgot,Lucian,Braum,Ornn,Skarner,Velkoz,Varus,Zilean
Ornn,Olaf,Ryze,Ashe,Braum,Sion,LeeSin,Zoe,Jhin,TahmKench
Ornn,Sejuani,Karma,Kaisa,Nautilus,Gangplank,Skarner,Azir,Xayah,Rakan
Sion,Olaf,Swain,Xayah,Rakan,Ornn,XinZhao,Syndra,Kaisa,Leona
Urgot,Taliyah,Syndra,Kaisa,Alistar,Aatrox,Olaf,Kassadin,Vayne,Pyke
Shen,Camille,Akali,Kaisa,Rakan,Sion,Kindred,Malzahar,Lucian,Braum
Urgot,XinZhao,Leblanc,Xayah,Thresh,Sion,Nocturne,Lissandra,Kaisa,Nautilus
Aatrox,Gragas,Galio,Ashe,Braum,Akali,Olaf,Urgot,Jhin,Rakan
Urgot,Gragas,Irelia,Tristana,Rakan,Aatrox,Kindred,Azir,Varus,Thresh
Urgot,JarvanIV,Galio,Tristana,Alistar,Poppy,Taliyah,Aatrox,Lucian,Rakan
Irelia,Olaf,Swain,Varus,TahmKench,Camille,Kindred,Galio,Ezreal,Rakan
Camille,Nocturne,Akali,Jhin,TahmKench,Sion,Gragas,Galio,Xayah,Braum
Sion,Camille,Lissandra,Kaisa,Thresh,Irelia,XinZhao,Ryze,Varus,Braum
Ornn,LeeSin,Ryze,Sivir,Braum,Shen,Camille,Galio,Kaisa,Thresh
Shen,Nocturne,Syndra,Xayah,Alistar,Sion,Taliyah,Cassiopeia,Varus,TahmKench
Urgot,XinZhao,Galio,Xayah,Alistar,Akali,Nocturne,Azir,Tristana,Rakan
Sion,XinZhao,Ryze,Draven,Thresh,Ornn,LeeSin,Lissandra,Kaisa,Gragas
Aatrox,Skarner,Syndra,Xayah,Rakan,Hecarim,Nocturne,Leblanc,Sivir,Shen
Urgot,LeeSin,Leblanc,Tristana,Leona,Irelia,Olaf,Malzahar,Kaisa,Braum
Ornn,Gragas,Cassiopeia,Xayah,Alistar,Sion,Skarner,Orianna,Kaisa,Rakan
Ornn,Skarner,Aatrox,Kaisa,Leona,Urgot,Nocturne,Ahri,Xayah,Rakan
Shen,Taliyah,Syndra,Sivir,Alistar,Urgot,LeeSin,Sion,Kaisa,Gragas
Chogath,Zac,Irelia,Kaisa,Morgana,Ornn,Gragas,Akali,Lucian,Alistar
Singed,Nocturne,Zilean,Xayah,Shen,Sion,Trundle,Ekko,Draven,Thresh
Ornn,Nocturne,Ryze,Xayah,Morgana,Sion,Olaf,Orianna,Lucian,Rakan
Aatrox,Olaf,Lissandra,Kalista,Thresh,Shen,Taliyah,Irelia,Lucian,Nami
Aatrox,Nocturne,Syndra,Lucian,Rakan,Poppy,XinZhao,Zilean,Xayah,Thresh
Akali,Nocturne,Galio,Varus,TahmKench,Chogath,XinZhao,Lissandra,Kaisa,Shen
Aatrox,Nocturne,Akali,Sivir,Alistar,Jayce,Olaf,Leblanc,Xayah,Poppy
Sion,Taliyah,Akali,Sivir,Thresh,Irelia,Skarner,Lissandra,Brand,TahmKench
Camille,XinZhao,Galio,Lucian,Gragas,Jax,Nocturne,Swain,Xayah,Thresh
Sion,Olaf,Akali,Sivir,Shen,Aatrox,Camille,Galio,Kaisa,Gragas
Aatrox,Camille,Cassiopeia,Jhin,TahmKench,Ryze,Gragas,Galio,Kaisa,Alistar
Aatrox,Gragas,Irelia,Heimerdinger,Alistar,Urgot,Taliyah,Ryze,Mordekaiser,TahmKench
Aatrox,Skarner,Leblanc,Sivir,Alistar,Urgot,Nocturne,Lissandra,Kaisa,Gragas
