wei1,name1,wei2,name2,lift
下,MissFortune,辅,Leona,4.35519638614297
辅,Leona,下,MissFortune,4.35519638614297
辅,Nautilus,下,MissFortune,3.331098271691587
下,MissFortune,辅,Nautilus,3.3310982716915865
辅,Maokai,下,Senna,44.82366062208269
下,Senna,辅,Maokai,44.82366062208269
辅,TahmKench,下,Senna,3.868661071764287
下,Senna,辅,TahmKench,3.868661071764287
下,Sivir,辅,Lux,3.5008927905299547
辅,Lux,下,Sivir,3.5008927905299547
下,Sivir,辅,Trundle,3.2655414908579465
辅,Trundle,下,Sivir,3.2655414908579465
辅,TahmKench,下,Sona,4.337317325064641
下,Sona,辅,TahmKench,4.33731732506464
下,Sona,辅,Taric,14.146128680479825
辅,Taric,下,Sona,14.146128680479825
下,Swain,辅,Alistar,3.303909389842894
辅,Alistar,下,Swain,3.303909389842894
下,Swain,辅,Shen,14.655379188712521
辅,Shen,下,Swain,14.655379188712521
辅,Alistar,下,Tristana,3.158217795127205
下,Tristana,辅,Alistar,3.1582177951272046
辅,Janna,下,Tristana,4.733521888834235
下,Tristana,辅,Janna,4.733521888834234
辅,Janna,下,Twitch,7.15026412027631
下,Twitch,辅,Janna,7.15026412027631
下,Twitch,辅,Lulu,3.9092627599243848
辅,Lulu,下,Twitch,3.909262759924385
下,Vayne,辅,Galio,5.277367907641895
辅,Galio,下,Vayne,5.277367907641895
下,Vladimir,辅,Shen,25.04063689858082
辅,Shen,下,Vladimir,25.040636898580818
下,Xayah,辅,Rakan,7.935064935064935
辅,Rakan,下,Xayah,7.935064935064935
